"","Parameter","Value"
"215","Chlorophyll",1.61
"216","Chlorophyll",3.9
"217","Chlorophyll",0.73
"218","Chlorophyll",1.23
"219","Phycocyanin",0.1
"220","Phycocyanin",0.1
"221","Phycocyanin",3.5
"222","Chlorophyll",2.74
"223","Chlorophyll",1.17
"224","Chlorophyll",5.44
"225","Chlorophyll",0.74
"226","Chlorophyll",1.2
"227","Phycocyanin",2.5
"228","Chlorophyll",5.27
"229","Chlorophyll",1.37
"230","Phycocyanin",0.1
"231","Phycocyanin",3.5
"232","Phycocyanin",4.5
"233","Phycocyanin",0.1
"234","Chlorophyll",1.26
"235","Phycocyanin",3
"236","Phycocyanin",0.55
"237","Phycocyanin",2
"238","Phycocyanin",1.5
"239","Phycocyanin",1
"240","Phycocyanin",0.1
"241","Phycocyanin",1.5
"242","Phycocyanin",2.5
"243","Phycocyanin",1.5
"244","Chlorophyll",1.25
"245","Phycocyanin",0.1
"246","Chlorophyll",0.91
"247","Phycocyanin",2.5
"248","Phycocyanin",2
"249","Chlorophyll",4.08
"250","Phycocyanin",2.5
"251","Chlorophyll",0.88
"252","Phycocyanin",0.1
"253","Chlorophyll",1.59
"254","Chlorophyll",0.82
"255","Chlorophyll",1.37
"256","Chlorophyll",1.35
"257","Chlorophyll",1.25
"258","Chlorophyll",1.41
"259","Chlorophyll",0.8
"260","Chlorophyll",0.82
"261","Chlorophyll",0.74
"262","Phycocyanin",2
"263","Chlorophyll",0.83
"264","Phycocyanin",0.1
"265","Phycocyanin",0.1
"266","Chlorophyll",3.6
"267","Phycocyanin",0.1
"268","Chlorophyll",0.76
"269","Chlorophyll",1.56
"270","Phycocyanin",6
"271","Chlorophyll",1.26
"272","Phycocyanin",0.1
"273","Chlorophyll",3.96
"274","Phycocyanin",0.1
"275","Chlorophyll",1.22
"276","Chlorophyll",0.76
"277","Chlorophyll",0.58
"278","Phycocyanin",0.1
"279","Phycocyanin",3.5
"280","Chlorophyll",8.91
"281","Phycocyanin",0.55
"282","Chlorophyll",8.76
"283","Chlorophyll",8.79
"284","Chlorophyll",0.53
"285","Phycocyanin",0.1
"286","Chlorophyll",1.44
"287","Phycocyanin",0.1
"288","Phycocyanin",0.1
"289","Phycocyanin",2.5
"290","Chlorophyll",0.46
"291","Chlorophyll",0.76
"292","Phycocyanin",467.28
"293","Chlorophyll",0.92
"294","Phycocyanin",12.52
"295","Phycocyanin",0.1
"296","Phycocyanin",2.5
"297","Phycocyanin",0.1
"298","Phycocyanin",0.1
"299","Phycocyanin",474.36
"300","Chlorophyll",1.17
"301","Chlorophyll",1
"302","Chlorophyll",0.44
"303","Chlorophyll",0.76
"304","Chlorophyll",1.23
"305","Chlorophyll",0.43
"306","Phycocyanin",0.1
"307","Chlorophyll",0.95
"308","Phycocyanin",0.1
"309","Phycocyanin",0.1
"310","Chlorophyll",0.94
"311","Chlorophyll",1.92
"312","Phycocyanin",460.2
"313","Phycocyanin",0.55
"314","Chlorophyll",1.25
"315","Phycocyanin",0.1
"316","Chlorophyll",0.94
"317","Phycocyanin",0.1
"318","Phycocyanin",0.1
"319","Chlorophyll",1.46
"320","Phycocyanin",0.1
"321","Chlorophyll",10.14
"322","Chlorophyll",1.22
"323","Phycocyanin",0.1
"324","Chlorophyll",4.91
"325","Phycocyanin",2.5
"326","Chlorophyll",0.94
"327","Phycocyanin",0.1
"328","Phycocyanin",0.1
"329","Chlorophyll",1.58
"330","Phycocyanin",0.1
"331","Phycocyanin",0.1
"332","Phycocyanin",0.1
"333","Phycocyanin",2.5
"334","Phycocyanin",0.1
"335","Chlorophyll",1.11
"336","Chlorophyll",1.38
"337","Phycocyanin",0.1
"338","Chlorophyll",1.02
"339","Chlorophyll",0.94
"340","Chlorophyll",0.88
"341","Chlorophyll",0.91
"342","Chlorophyll",0.86
"343","Phycocyanin",276.05
"344","Chlorophyll",6.9
"345","Phycocyanin",135.41
"346","Chlorophyll",3.04
"347","Phycocyanin",64.1
"348","Chlorophyll",3.83
"349","Phycocyanin",102.02
"350","Chlorophyll",3.36
"351","Phycocyanin",106.67
"352","Phycocyanin",25.67
"353","Phycocyanin",19.1
"354","Phycocyanin",105.56
"355","Chlorophyll",3.65
"356","Phycocyanin",28.2
"357","Chlorophyll",3.9
"358","Chlorophyll",3.07
"359","Chlorophyll",3.02
"360","Chlorophyll",2.8
"425","Phycocyanin",3.5
"426","Chlorophyll",0
"427","Chlorophyll",0.05
"428","Chlorophyll",0.01
"429","Chlorophyll",0
"430","Phycocyanin",1.5
"431","Phycocyanin",0.1
"432","Phycocyanin",0.1
"449","Phycocyanin",0.1
"450","Phycocyanin",2.5
"451","Phycocyanin",4.5
"452","Chlorophyll",0.05
"453","Phycocyanin",0
"454","Chlorophyll",0
"455","Chlorophyll",0
"456","Chlorophyll",0.11
"457","Chlorophyll",0
"458","Phycocyanin",3
"459","Phycocyanin",3.5
"460","Chlorophyll",0.11
"461","Chlorophyll",0.2
"462","Phycocyanin",1.5
"463","Chlorophyll",0
"464","Phycocyanin",3.5
"465","Phycocyanin",0.1
"466","Phycocyanin",2.5
"467","Chlorophyll",0
"468","Chlorophyll",0.17
"469","Phycocyanin",2.5
"470","Chlorophyll",0
"471","Phycocyanin",1
"472","Chlorophyll",0.14
"473","Phycocyanin",5.5
"474","Phycocyanin",6
"475","Chlorophyll",0.14
"476","Chlorophyll",0.01
"477","Chlorophyll",0
"478","Chlorophyll",0.14
"479","Phycocyanin",6
"480","Phycocyanin",0.1
"481","Phycocyanin",0.1
"482","Chlorophyll",0.14
"483","Chlorophyll",0
"484","Chlorophyll",0.11
"485","Phycocyanin",0.1
"486","Phycocyanin",5
"487","Phycocyanin",7
"488","Chlorophyll",0
"489","Phycocyanin",6.5
"490","Phycocyanin",2
"491","Phycocyanin",3
"492","Chlorophyll",0
"493","Chlorophyll",0.05
"494","Phycocyanin",4
"495","Chlorophyll",0.05
"496","Chlorophyll",0
"505","Chlorophyll",0.28
"506","Chlorophyll",0.28
"507","Chlorophyll",0.2
"508","Phycocyanin",3
"509","Phycocyanin",1.5
"510","Chlorophyll",0.08
"511","Phycocyanin",5.5
"512","Phycocyanin",6
"553","Phycocyanin",5
"554","Phycocyanin",3
"555","Chlorophyll",0.1
"556","Phycocyanin",4
"557","Phycocyanin",1.5
"558","Chlorophyll",0.16
"559","Chlorophyll",0.2
"560","Chlorophyll",0
"588","Phycocyanin",0.1
"595","Phycocyanin",2
"600","Chlorophyll",0
"601","Chlorophyll",0
"617","Chlorophyll",0.25
"618","Phycocyanin",2
"619","Phycocyanin",2.5
"620","Chlorophyll",0.07
"621","Phycocyanin",1.5
"622","Chlorophyll",0.13
"623","Chlorophyll",0
"624","Phycocyanin",0.55
"643","Phycocyanin",1.5
"650","Chlorophyll",0
"652","Phycocyanin",0.1
"662","Chlorophyll",0
"681","Phycocyanin",0.1
"686","Chlorophyll",0
"687","Chlorophyll",0.01
"696","Phycocyanin",0.1
"705","Phycocyanin",6.5
"706","Phycocyanin",2.5
"707","Chlorophyll",0
"708","Chlorophyll",0.2
"709","Phycocyanin",1.5
"710","Chlorophyll",0.13
"711","Phycocyanin",1.5
"712","Chlorophyll",0.34
"720","Chlorophyll",0.05
"721","Phycocyanin",0.1
"725","Chlorophyll",0
"735","Phycocyanin",0.1
"737","Phycocyanin",1
"738","Chlorophyll",0.04
"739","Chlorophyll",0
"740","Phycocyanin",7
"741","Phycocyanin",8.5
"742","Phycocyanin",3
"743","Chlorophyll",0.65
"744","Chlorophyll",0.16
"745","Phycocyanin",1
"746","Phycocyanin",6
"747","Chlorophyll",0.05
"748","Phycocyanin",3.5
"749","Chlorophyll",0
"750","Chlorophyll",0.38
"751","Chlorophyll",0.23
"752","Phycocyanin",5
"817","Chlorophyll",0.02
"818","Phycocyanin",2.5
"819","Phycocyanin",3.5
"820","Phycocyanin",2.5
"821","Chlorophyll",0.37
"822","Phycocyanin",4.5
"823","Chlorophyll",0.17
"824","Chlorophyll",0
"825","Phycocyanin",3
"826","Phycocyanin",3.5
"827","Chlorophyll",0.08
"828","Phycocyanin",27
"829","Phycocyanin",5
"830","Chlorophyll",0.23
"831","Chlorophyll",0.23
"832","Chlorophyll",0.08
"833","Phycocyanin",1
"834","Chlorophyll",2.7
"835","Chlorophyll",2.01
"836","Phycocyanin",0.1
"837","Phycocyanin",0.1
"838","Phycocyanin",0.1
"839","Chlorophyll",2.48
"840","Chlorophyll",2.35
"841","Phycocyanin",0.1
"842","Phycocyanin",0.1
"843","Chlorophyll",2.08
"844","Chlorophyll",1.81
"845","Phycocyanin",0.1
"846","Phycocyanin",0.1
"847","Chlorophyll",2.65
"848","Phycocyanin",0.1
"849","Chlorophyll",2.38
"850","Chlorophyll",2.65
"851","Chlorophyll",2.23
"852","Phycocyanin",0.1
"853","Phycocyanin",0.1
"854","Chlorophyll",2.95
"855","Phycocyanin",0.1
"856","Chlorophyll",2.68
"857","Chlorophyll",1.71
"858","Phycocyanin",0.1
"859","Phycocyanin",0.1
"860","Chlorophyll",1.59
"861","Chlorophyll",2.82
"862","Chlorophyll",2.97
"863","Phycocyanin",0.1
"864","Phycocyanin",0.1
"865","Phycocyanin",0.1
"866","Phycocyanin",1
"867","Chlorophyll",3.74
"868","Phycocyanin",0.55
"869","Chlorophyll",2.35
"870","Phycocyanin",0.1
"871","Chlorophyll",2.8
"872","Chlorophyll",2.8
"873","Chlorophyll",2.82
"874","Chlorophyll",2.73
"875","Phycocyanin",0.1
"876","Phycocyanin",0.1
"877","Chlorophyll",3.05
"878","Phycocyanin",0.55
"879","Phycocyanin",1.5
"880","Phycocyanin",0.1
"881","Chlorophyll",3.37
"882","Phycocyanin",0.1
"883","Phycocyanin",4.5
"884","Chlorophyll",3.17
"885","Chlorophyll",2.73
"886","Phycocyanin",0.1
"887","Chlorophyll",3.27
"888","Chlorophyll",3.39
"889","Phycocyanin",0.1
"890","Phycocyanin",0.1
"891","Phycocyanin",0.1
"892","Chlorophyll",3.22
"893","Phycocyanin",1.5
"894","Chlorophyll",3.29
"895","Chlorophyll",2.75
"896","Chlorophyll",2.92
"897","Phycocyanin",1.5
"898","Chlorophyll",2.63
"899","Chlorophyll",2.5
"900","Chlorophyll",2.68
"901","Chlorophyll",2.73
"902","Chlorophyll",2.58
"903","Chlorophyll",2.85
"904","Phycocyanin",0.1
"905","Phycocyanin",0.1
"906","Phycocyanin",0.1
"907","Phycocyanin",0.1
"908","Phycocyanin",0.1
"909","Chlorophyll",1.71
"910","Chlorophyll",1.59
"911","Phycocyanin",0.1
"912","Phycocyanin",0.1
"913","Chlorophyll",1.59
