"","Parameter","Value"
"1320","Phycocyanin",44.5
"1323","Chlorophyll",1.16
"1325","Chlorophyll",1.13
"1328","Chlorophyll",0.47
"1331","Chlorophyll",0.46
"1333","Phycocyanin",4
"1334","Phycocyanin",6
"1335","Chlorophyll",0.7
"1336","Chlorophyll",0.32
"1345","Phycocyanin",1.5
"1350","Phycocyanin",2
"1354","Phycocyanin",0.55
"1360","Phycocyanin",0.1
"1364","Chlorophyll",1.25
"1366","Chlorophyll",0.37
"1373","Chlorophyll",0.37
"1375","Chlorophyll",0.5
"1379","Phycocyanin",2.5
"1380","Phycocyanin",1
"1386","Phycocyanin",0.1
"1387","Chlorophyll",0.79
"1388","Phycocyanin",4.5
"1390","Chlorophyll",0.34
"1399","Phycocyanin",0.1
"1400","Chlorophyll",1.74
"1401","Phycocyanin",3.5
"1402","Phycocyanin",0.1
"1403","Phycocyanin",0.1
"1404","Chlorophyll",3.47
"1405","Chlorophyll",3.44
"1406","Chlorophyll",3.25
"1407","Phycocyanin",1.5
"1408","Phycocyanin",1
"1409","Chlorophyll",2.31
"1410","Chlorophyll",1.86
"1411","Phycocyanin",0.55
"1412","Phycocyanin",0.1
"1413","Phycocyanin",0.1
"1414","Phycocyanin",0.1
"1415","Chlorophyll",4.33
"1416","Chlorophyll",2.58
"1417","Chlorophyll",2.06
"1418","Chlorophyll",2.08
"1419","Phycocyanin",0.1
"1420","Phycocyanin",0.1
"1421","Phycocyanin",1
"1422","Phycocyanin",0.1
"1423","Chlorophyll",1.91
"1424","Chlorophyll",1.44
"1425","Chlorophyll",1.19
"1426","Chlorophyll",1.44
"1427","Phycocyanin",1
"1428","Phycocyanin",1
"1429","Chlorophyll",2.35
"1430","Chlorophyll",2.01
"1431","Phycocyanin",1
"1432","Phycocyanin",0.1
"1433","Chlorophyll",2.03
"1434","Phycocyanin",0.1
"1435","Phycocyanin",0.1
"1436","Chlorophyll",3.15
"1437","Chlorophyll",2.7
"1438","Phycocyanin",0.1
"1439","Phycocyanin",5.5
"1440","Chlorophyll",3.52
"1441","Chlorophyll",3.34
"1442","Phycocyanin",0.1
"1443","Chlorophyll",2.38
"1444","Chlorophyll",1.81
"1445","Chlorophyll",1.81
"1446","Phycocyanin",0.1
"1447","Phycocyanin",3.5
"1448","Phycocyanin",0.1
"1449","Phycocyanin",1.5
"1450","Chlorophyll",4.56
"1451","Chlorophyll",1.46
"1452","Phycocyanin",3.5
"1453","Phycocyanin",3.47
"1454","Chlorophyll",1.93
"1455","Phycocyanin",0.1
"1456","Chlorophyll",1.76
"1457","Chlorophyll",2.03
"1458","Phycocyanin",0.1
"1459","Chlorophyll",1.96
"1460","Phycocyanin",0.1
"1461","Chlorophyll",2.18
"1462","Chlorophyll",1.89
"1463","Chlorophyll",2.13
"1464","Phycocyanin",0.1
"1465","Chlorophyll",2.13
"1466","Chlorophyll",2.43
"1467","Phycocyanin",5.5
"1468","Chlorophyll",1.86
"1469","Chlorophyll",2.48
"1470","Phycocyanin",0.1
"1471","Chlorophyll",1.37
"1472","Phycocyanin",0.1
"1473","Chlorophyll",2.23
"1474","Phycocyanin",0.1
"1475","Chlorophyll",1.76
"1476","Phycocyanin",3.5
"1477","Phycocyanin",0.1
"1478","Phycocyanin",4
"1479","Phycocyanin",0.1
"1480","Phycocyanin",0.1
"1481","Chlorophyll",1.46
"1482","Phycocyanin",0.55
"1483","Chlorophyll",1.69
"1484","Phycocyanin",0.1
"1485","Phycocyanin",4
"1486","Phycocyanin",0.1
"1487","Phycocyanin",0.1
"1488","Phycocyanin",0.1
"1489","Chlorophyll",3.15
"1490","Chlorophyll",2.21
"1491","Phycocyanin",0.1
"1492","Chlorophyll",1.82
"1493","Phycocyanin",2
"1494","Phycocyanin",0.1
"1495","Chlorophyll",2.48
"1496","Chlorophyll",2.85
"1497","Phycocyanin",2
"1498","Chlorophyll",2.03
"1499","Chlorophyll",3.54
"1500","Chlorophyll",2.01
"1501","Phycocyanin",0.1
"1502","Phycocyanin",4.5
"1503","Phycocyanin",0.1
"1504","Chlorophyll",1.91
"1505","Phycocyanin",4.5
"1506","Chlorophyll",3.54
"1507","Phycocyanin",0.1
"1508","Chlorophyll",3.52
"1509","Phycocyanin",0.55
"1510","Chlorophyll",2.43
"1511","Chlorophyll",2.13
"1512","Phycocyanin",3
"1513","Chlorophyll",2.45
"1514","Chlorophyll",2.68
"1515","Chlorophyll",2.8
"1516","Chlorophyll",0.1
"1517","Chlorophyll",3.26
"1518","Phycocyanin",8.5
"1519","Chlorophyll",1.7
"1520","Phycocyanin",1.5
"1521","Chlorophyll",1.89
"1522","Chlorophyll",2.02
"1523","Phycocyanin",0.1
"1524","Phycocyanin",16.5
"1525","Chlorophyll",0.29
"1526","Phycocyanin",5.5
"1527","Chlorophyll",1.22
"1528","Chlorophyll",0.23
"1529","Phycocyanin",1.5
"1530","Phycocyanin",0.1
"1531","Chlorophyll",0.5
"1532","Phycocyanin",1
"1533","Phycocyanin",0.55
"1534","Chlorophyll",0.32
"1535","Chlorophyll",0.53
"1536","Phycocyanin",2.5
"1537","Chlorophyll",0.31
"1538","Phycocyanin",1.5
"1539","Chlorophyll",0.52
"1540","Phycocyanin",1
"1542","Phycocyanin",0.1
"1543","Chlorophyll",0.26
"1546","Chlorophyll",0.46
"1548","Phycocyanin",0.1
"1549","Chlorophyll",0.25
"1553","Chlorophyll",0.53
"1554","Phycocyanin",0.1
"1555","Phycocyanin",4.5
"1557","Phycocyanin",0.1
"1558","Chlorophyll",0.4
"1559","Chlorophyll",0.37
"1560","Phycocyanin",0.1
"1561","Phycocyanin",0.1
"1562","Chlorophyll",0.32
"1563","Phycocyanin",0.1
"1564","Chlorophyll",0.45
"1565","Chlorophyll",0.65
"1566","Phycocyanin",0.1
"1567","Chlorophyll",0.57
"1568","Phycocyanin",0.55
"1569","Chlorophyll",0.5
"1570","Chlorophyll",0.5
"1571","Phycocyanin",0.1
"1572","Phycocyanin",0.1
"1573","Phycocyanin",0.1
"1574","Phycocyanin",0.1
"1575","Phycocyanin",0.1
"1576","Phycocyanin",0.1
"1577","Chlorophyll",0.32
"1578","Phycocyanin",0.1
"1579","Chlorophyll",0.45
"1580","Chlorophyll",0.47
"1581","Chlorophyll",0.55
"1582","Chlorophyll",0.42
"1583","Chlorophyll",0.37
"1584","Phycocyanin",0.1
"1585","Chlorophyll",0.22
"1586","Chlorophyll",0.42
"1587","Phycocyanin",0.1
"1588","Phycocyanin",2.5
"1589","Phycocyanin",0.1
"1590","Chlorophyll",1.84
"1591","Chlorophyll",0.32
"1592","Chlorophyll",1.89
"1593","Chlorophyll",1.19
"1594","Phycocyanin",10
"1595","Phycocyanin",0.1
"1596","Phycocyanin",10
"1597","Chlorophyll",0.25
"1598","Phycocyanin",17.95
"1599","Phycocyanin",0.1
"1600","Chlorophyll",0.32
"1601","Phycocyanin",17.95
"1602","Phycocyanin",0.1
"1603","Chlorophyll",0.22
"1604","Chlorophyll",0.4
"1605","Phycocyanin",2.5
"1606","Chlorophyll",1.19
"1607","Phycocyanin",0.1
"1608","Phycocyanin",13.48
"1609","Chlorophyll",0.45
"1610","Chlorophyll",0.27
"1611","Phycocyanin",1
"1612","Chlorophyll",1.84
"1613","Chlorophyll",0.42
"1614","Phycocyanin",0.55
"1615","Phycocyanin",0.1
"1616","Chlorophyll",0.42
"1617","Chlorophyll",0.6
"1618","Chlorophyll",0.57
"1619","Phycocyanin",0.55
"1620","Phycocyanin",2.5
"1621","Chlorophyll",2.5
"1622","Chlorophyll",0.55
"1623","Phycocyanin",0.1
"1624","Phycocyanin",0.1
"1625","Chlorophyll",0.65
"1626","Chlorophyll",0.5
"1627","Phycocyanin",0.1
"1628","Phycocyanin",0.57
"1629","Chlorophyll",0.55
"1630","Chlorophyll",0.887
"1631","Phycocyanin",0.1
"1632","Phycocyanin",0.1
"1633","Phycocyanin",0.1
"1634","Chlorophyll",0.45
"1635","Phycocyanin",0.1
"1636","Chlorophyll",0.55
"1637","Phycocyanin",0.1
"1638","Chlorophyll",0.3
"1639","Phycocyanin",0.1
"1640","Chlorophyll",0.5
"1641","Phycocyanin",0.1
"1642","Phycocyanin",3.5
"1643","Chlorophyll",0.35
"1644","Chlorophyll",0.17
"1645","Chlorophyll",0.4
"1646","Chlorophyll",0.52
"1647","Phycocyanin",0.1
"1648","Phycocyanin",0.1
"1649","Phycocyanin",13.48
"1650","Chlorophyll",1.51
"1651","Chlorophyll",0.5
"1652","Phycocyanin",13.97
"1653","Phycocyanin",5
"1654","Phycocyanin",13.97
"1655","Phycocyanin",3
"1656","Phycocyanin",3
"1657","Phycocyanin",18.95
"1658","Chlorophyll",1.51
"1659","Chlorophyll",1.56
"1660","Phycocyanin",0.1
"1661","Chlorophyll",0.25
"1662","Chlorophyll",0.42
"1663","Chlorophyll",0.5
"1664","Chlorophyll",0.25
"1665","Chlorophyll",1.56
"1666","Phycocyanin",18.95
"1667","Phycocyanin",0.1
"1668","Chlorophyll",1.42
"1669","Chlorophyll",0.25
"1670","Phycocyanin",0.1
"1671","Chlorophyll",0
"1672","Phycocyanin",0.1
"1673","Phycocyanin",7.5
"1674","Chlorophyll",0.19
"1675","Phycocyanin",2
"1676","Chlorophyll",0
"1677","Phycocyanin",17.5
"1678","Phycocyanin",0.1
"1679","Phycocyanin",842.43
"1680","Chlorophyll",3.5
"1681","Chlorophyll",0.34
"1682","Phycocyanin",196.23
"1683","Chlorophyll",7.15
"1684","Chlorophyll",0.01
"1685","Chlorophyll",0.4
"1686","Phycocyanin",9.57
"1687","Chlorophyll",0.87
"1688","Phycocyanin",2
"1689","Phycocyanin",16.46
"1690","Chlorophyll",0.35
"1691","Chlorophyll",0.52
"1692","Chlorophyll",0.82
"1693","Phycocyanin",1.5
"1694","Chlorophyll",8.5
"1695","Chlorophyll",0.47
"1696","Phycocyanin",0.1
"1697","Phycocyanin",8
"1698","Phycocyanin",3.5
"1699","Chlorophyll",0.6
"1700","Phycocyanin",0.1
"1701","Phycocyanin",5
"1702","Phycocyanin",1
"1703","Chlorophyll",0.82
"1704","Phycocyanin",0.1
"1705","Chlorophyll",0.77
"1706","Phycocyanin",0.1
"1707","Chlorophyll",1.22
"1708","Phycocyanin",1
"1709","Chlorophyll",0.45
"1710","Chlorophyll",0.67
"1711","Phycocyanin",0.1
"1712","Chlorophyll",0.85
"1713","Chlorophyll",0.52
"1714","Phycocyanin",13.48
"1715","Chlorophyll",0.97
"1716","Phycocyanin",1.5
"1717","Chlorophyll",0.25
"1718","Phycocyanin",0.1
"1719","Chlorophyll",1.39
"1720","Chlorophyll",0.62
"1721","Phycocyanin",0.1
"1722","Chlorophyll",1.51
"1723","Chlorophyll",0.52
"1724","Phycocyanin",7
"1725","Phycocyanin",0.1
"1726","Chlorophyll",1.02
"1727","Chlorophyll",0.4
"1728","Phycocyanin",0.1
"1729","Phycocyanin",0.55
"1730","Phycocyanin",7
"1731","Phycocyanin",0.1
"1732","Phycocyanin",13.48
"1733","Phycocyanin",1.5
"1734","Chlorophyll",1.89
"1735","Chlorophyll",0.97
"1736","Phycocyanin",0.1
"1737","Chlorophyll",0.7
"1738","Chlorophyll",1.22
"1739","Phycocyanin",4.5
"1740","Chlorophyll",0.6
"1741","Phycocyanin",8
"1742","Chlorophyll",0.5
"1743","Chlorophyll",0.32
"1744","Phycocyanin",10
"1745","Phycocyanin",863.87
"1747","Chlorophyll",1.84
"1749","Chlorophyll",8.67
"1751","Phycocyanin",48
"1753","Chlorophyll",0.42
"1754","Phycocyanin",0.1
"1755","Chlorophyll",0.55
"1756","Phycocyanin",0.1
"1757","Chlorophyll",0.25
"1758","Phycocyanin",0.1
"1759","Chlorophyll",1.12
"1760","Chlorophyll",0.5
"1761","Chlorophyll",0.6
"1762","Phycocyanin",0.42
"1763","Phycocyanin",3
"1764","Phycocyanin",0.1
"1765","Phycocyanin",0.1
"1766","Phycocyanin",0.1
"1767","Phycocyanin",0.1
"1768","Chlorophyll",2.9
"1769","Phycocyanin",0.1
"1770","Chlorophyll",0.72
"1771","Chlorophyll",0.1
"1772","Chlorophyll",0.3
"1773","Phycocyanin",0.1
"1774","Chlorophyll",0.35
"1775","Chlorophyll",0.52
"1776","Chlorophyll",2.5
"1777","Phycocyanin",3
"1778","Phycocyanin",3
"1779","Phycocyanin",1
"1780","Phycocyanin",0.1
"1781","Chlorophyll",8.66
"1782","Chlorophyll",8.66
"1783","Chlorophyll",0.82
"1784","Chlorophyll",0.72
"1785","Phycocyanin",3
"1786","Phycocyanin",1
"1787","Chlorophyll",8.66
"1788","Chlorophyll",0.82
"1789","Phycocyanin",0.1
"1790","Phycocyanin",0.1
"1791","Chlorophyll",1.79
"1792","Chlorophyll",1.69
"1793","Phycocyanin",2
"1794","Chlorophyll",0.95
"1795","Chlorophyll",0.97
"1796","Phycocyanin",0.1
"1797","Phycocyanin",2.5
"1798","Chlorophyll",1.76
"1799","Chlorophyll",1.79
"1800","Phycocyanin",0.1
"1801","Phycocyanin",0.1
"1802","Chlorophyll",1.51
"1803","Chlorophyll",1.54
"1804","Phycocyanin",0.1
"1805","Phycocyanin",0.1
"1806","Chlorophyll",0.65
"1807","Chlorophyll",0.8
"1808","Phycocyanin",0.1
"1809","Phycocyanin",6.5
"1810","Chlorophyll",0.67
"1811","Chlorophyll",0.82
"1812","Phycocyanin",1
"1813","Phycocyanin",6.5
"1814","Phycocyanin",6.5
"1815","Chlorophyll",0.92
"1816","Chlorophyll",10.19
"1817","Chlorophyll",10.19
"1818","Phycocyanin",1
"1819","Phycocyanin",0.1
"1820","Chlorophyll",10.19
"1821","Phycocyanin",3.5
"1822","Chlorophyll",0.52
"1823","Phycocyanin",5.5
"1824","Chlorophyll",0.3
"1825","Phycocyanin",0.1
"1826","Chlorophyll",0.67
"1827","Chlorophyll",0.35
"1828","Chlorophyll",0.37
"1829","Phycocyanin",0.1
"1830","Chlorophyll",0.67
"1831","Phycocyanin",0.32
"1832","Phycocyanin",0.1
"1833","Chlorophyll",0.32
"1834","Phycocyanin",0.1
"1835","Chlorophyll",0.95
"1836","Phycocyanin",0.1
"1837","Chlorophyll",0.35
"1838","Chlorophyll",0.37
"1839","Phycocyanin",0.1
"1840","Chlorophyll",0.37
"1841","Phycocyanin",0.1
"1842","Chlorophyll",1.32
"1843","Phycocyanin",0.1
"1844","Chlorophyll",1
"1845","Phycocyanin",0.1
"1846","Phycocyanin",0.1
"1847","Phycocyanin",2
"1848","Phycocyanin",0.1
"1849","Chlorophyll",0.75
"1850","Chlorophyll",0.47
"1851","Phycocyanin",0.1
"1852","Chlorophyll",0.45
"1853","Chlorophyll",3.15
"1854","Phycocyanin",0.1
"1855","Chlorophyll",0.32
"1856","Phycocyanin",0.1
"1857","Phycocyanin",0.55
"1858","Chlorophyll",0.45
"1859","Chlorophyll",0.4
"1860","Chlorophyll",0.37
"1861","Phycocyanin",0.1
"1862","Chlorophyll",0.47
"1863","Chlorophyll",0.5
"1864","Phycocyanin",0.1
"1865","Chlorophyll",0.52
"1866","Phycocyanin",0.1
"1867","Phycocyanin",0.1
"1868","Phycocyanin",0.1
"1869","Phycocyanin",0.1
"1870","Phycocyanin",0.1
"1871","Chlorophyll",0.75
"1872","Phycocyanin",0.1
"1873","Phycocyanin",0.1
"1874","Chlorophyll",0.6
"1875","Chlorophyll",0.8
"1876","Chlorophyll",2.5
"1877","Chlorophyll",0.67
"1878","Phycocyanin",0.1
"1879","Phycocyanin",0.55
"1880","Chlorophyll",0.7
"1881","Chlorophyll",1.11
"1882","Chlorophyll",1.01
"1883","Phycocyanin",1.5
"1884","Phycocyanin",1
"1885","Chlorophyll",0.67
"1886","Chlorophyll",0.74
"1887","Phycocyanin",0.55
"1888","Phycocyanin",2.5
"1889","Phycocyanin",1
"1890","Chlorophyll",1.11
"1891","Chlorophyll",1.04
"1892","Phycocyanin",0.1
"1893","Phycocyanin",0.1
"1894","Chlorophyll",0.79
"1895","Phycocyanin",5
"1896","Chlorophyll",0.77
"1897","Phycocyanin",1
"1898","Phycocyanin",0.1
"1899","Chlorophyll",1.16
"1900","Chlorophyll",0.98
"1901","Chlorophyll",0.65
"1902","Phycocyanin",0.55
"1903","Chlorophyll",0.61
"1904","Phycocyanin",0.1
"1905","Phycocyanin",1
"1906","Chlorophyll",1.43
"1907","Phycocyanin",2
"1908","Chlorophyll",0.89
"1909","Phycocyanin",1.5
"1910","Phycocyanin",2
"1911","Chlorophyll",0.56
"1912","Chlorophyll",0.64
"1913","Chlorophyll",1.13
"1914","Chlorophyll",1.62
"1915","Phycocyanin",0.1
"1916","Phycocyanin",2
"1917","Phycocyanin",20.5
"1918","Chlorophyll",1.32
"1919","Chlorophyll",0.41
"1922","Phycocyanin",1
"1925","Chlorophyll",0.76
"1926","Phycocyanin",2.5
"1927","Chlorophyll",0.73
"1928","Chlorophyll",0.56
"1929","Chlorophyll",0.5
"1930","Phycocyanin",3.5
"1931","Phycocyanin",0.1
"1932","Phycocyanin",0.1
"1933","Chlorophyll",0.56
"1934","Chlorophyll",0.97
"1935","Chlorophyll",0.68
"1936","Phycocyanin",4.5
"1937","Phycocyanin",0.1
"1938","Phycocyanin",0.1
"1939","Chlorophyll",0.73
"1940","Phycocyanin",0.1
"1942","Chlorophyll",13.83
"1944","Phycocyanin",1791.65
"1947","Chlorophyll",0.73
"1948","Phycocyanin",6
"1949","Chlorophyll",0.67
"1950","Phycocyanin",0.55
"1951","Chlorophyll",0.5
"1952","Chlorophyll",0.77
"1953","Phycocyanin",0.1
"1954","Phycocyanin",0.1
"1955","Chlorophyll",0.44
"1956","Phycocyanin",0.55
"1957","Phycocyanin",3
"1958","Chlorophyll",0.83
"1959","Phycocyanin",0.1
"1960","Chlorophyll",0.67
"1961","Phycocyanin",0.55
"1962","Chlorophyll",0.65
"1963","Phycocyanin",0.1
"1964","Chlorophyll",1.35
"1965","Phycocyanin",1
"1966","Chlorophyll",0.74
"1967","Phycocyanin",2.5
"1968","Chlorophyll",0.71
"1969","Chlorophyll",0.94
"1970","Phycocyanin",0.55
"1971","Chlorophyll",1.41
"1972","Phycocyanin",0.1
"1976","Chlorophyll",1.58
"1977","Phycocyanin",0.1
"1979","Phycocyanin",5
"1980","Chlorophyll",0.1
"1984","Phycocyanin",1.5
"1985","Chlorophyll",0.23
"1986","Phycocyanin",8.5
"1987","Chlorophyll",2.17
"1989","Chlorophyll",0.82
"1990","Chlorophyll",1.07
"1991","Chlorophyll",1.54
"1992","Phycocyanin",5.5
"1993","Chlorophyll",0.8
"1994","Phycocyanin",2.5
"1995","Chlorophyll",1.07
"1996","Phycocyanin",0.1
"1997","Phycocyanin",0.1
"1998","Chlorophyll",1.07
"1999","Chlorophyll",1.39
"2000","Phycocyanin",7
"2001","Chlorophyll",0.8
"2002","Phycocyanin",2.5
"2003","Phycocyanin",2
"2004","Phycocyanin",4.5
"2005","Chlorophyll",1.34
"2006","Phycocyanin",0.1
"2007","Phycocyanin",0.1
"2008","Chlorophyll",1.54
"2009","Phycocyanin",2
"2010","Chlorophyll",1.07
"2011","Phycocyanin",0.1
"2012","Chlorophyll",0.87
"2013","Phycocyanin",0.1
"2014","Chlorophyll",0.85
"2015","Phycocyanin",0.1
"2016","Chlorophyll",0.5
"2017","Phycocyanin",6
"2018","Phycocyanin",0.9
"2019","Chlorophyll",1.24
"2020","Chlorophyll",1.51
"2021","Phycocyanin",15.46
"2022","Chlorophyll",0.8
"2023","Phycocyanin",0.1
"2024","Chlorophyll",1.17
"2025","Phycocyanin",0.9
"2026","Phycocyanin",2
"2027","Phycocyanin",0.1
"2028","Chlorophyll",1.34
"2029","Phycocyanin",6
"2030","Chlorophyll",1.12
"2031","Chlorophyll",1.56
"2032","Phycocyanin",0.1
"2033","Phycocyanin",3
"2034","Phycocyanin",0.1
"2035","Phycocyanin",1
"2036","Phycocyanin",0.1
"2037","Chlorophyll",1.42
"2038","Chlorophyll",0.55
"2039","Chlorophyll",1.02
"2040","Phycocyanin",0.1
"2041","Phycocyanin",2
"2042","Chlorophyll",0.65
"2043","Chlorophyll",1.14
"2044","Chlorophyll",0.87
"2045","Phycocyanin",3
"2046","Chlorophyll",1.24
"2047","Chlorophyll",0.82
"2048","Chlorophyll",1.09
"2049","Chlorophyll",0.95
"2050","Phycocyanin",5
"2051","Chlorophyll",1.19
"2052","Chlorophyll",0.8
"2053","Chlorophyll",0
"2054","Phycocyanin",0.1
"2055","Chlorophyll",1.22
"2056","Chlorophyll",1.07
"2057","Chlorophyll",0
"2058","Phycocyanin",0.1
"2059","Phycocyanin",0.55
"2060","Phycocyanin",0.1
"2061","Phycocyanin",0.1
"2062","Chlorophyll",1.27
"2063","Phycocyanin",16.96
"2064","Phycocyanin",0.1
"2065","Chlorophyll",1.39
"2066","Chlorophyll",0.92
"2067","Phycocyanin",0.1
"2068","Chlorophyll",1.71
"2069","Phycocyanin",0.1
"2070","Chlorophyll",0.9
"2071","Chlorophyll",0.92
"2072","Chlorophyll",0.85
"2073","Chlorophyll",0.665
"2074","Phycocyanin",0.1
"2075","Phycocyanin",0.1
"2076","Chlorophyll",1.86
"2077","Phycocyanin",0.1
"2078","Phycocyanin",0.1
"2079","Phycocyanin",0.1
"2080","Phycocyanin",0.1
"2081","Chlorophyll",6.31
"2082","Chlorophyll",4.09
"2083","Chlorophyll",0.85
"2084","Chlorophyll",0.72
"2085","Phycocyanin",6.5
"2086","Phycocyanin",0.1
"2087","Chlorophyll",0.9
"2088","Phycocyanin",13.97
"2089","Phycocyanin",0.1
"2090","Phycocyanin",5.5
"2091","Phycocyanin",0.1
"2092","Phycocyanin",1
"2093","Chlorophyll",0.8
"2094","Phycocyanin",2
"2095","Chlorophyll",1.04
"2096","Chlorophyll",0.8
"2097","Phycocyanin",0.1
"2099","Phycocyanin",0.1
"2101","Chlorophyll",0.13
"2103","Chlorophyll",0.23
"2105","Chlorophyll",0.55
"2107","Chlorophyll",0.13
"2111","Phycocyanin",3.5
"2115","Chlorophyll",0.28
"2117","Phycocyanin",0.1
"2118","Phycocyanin",2
"2119","Chlorophyll",0.31
"2120","Phycocyanin",1
"2122","Chlorophyll",0.1
"2123","Chlorophyll",0.35
"2125","Phycocyanin",0.1
"2127","Phycocyanin",0.55
"2130","Chlorophyll",0.23
"2131","Chlorophyll",0.13
"2134","Phycocyanin",0.1
"2136","Phycocyanin",0.1
"2137","Chlorophyll",0.01
"2138","Phycocyanin",1
"2139","Phycocyanin",1.5
"2140","Chlorophyll",0.07
"2141","Chlorophyll",0.28
"2142","Chlorophyll",0.46
"2143","Phycocyanin",1.5
"2144","Phycocyanin",2.5
"2145","Chlorophyll",0.13
"2148","Chlorophyll",0.13
"2151","Phycocyanin",0.1
"2152","Phycocyanin",0.1
"2153","Phycocyanin",2.5
"2154","Chlorophyll",0
"2155","Chlorophyll",0
"2159","Phycocyanin",0.1
"2161","Chlorophyll",0.11
"2162","Phycocyanin",1
"2163","Chlorophyll",0
"2164","Chlorophyll",0.1
"2165","Phycocyanin",0.1
"2166","Phycocyanin",1
"2167","Phycocyanin",0.1
"2168","Chlorophyll",0
"2169","Chlorophyll",0
"2170","Phycocyanin",7
"2171","Chlorophyll",0.22
"2172","Phycocyanin",0.55
"2173","Chlorophyll",0.14
"2174","Phycocyanin",2.5
"2175","Phycocyanin",0.1
"2176","Chlorophyll",0
"2177","Phycocyanin",0.1
"2178","Chlorophyll",0.61
"2179","Phycocyanin",0.1
"2180","Chlorophyll",0.29
"2181","Chlorophyll",0.13
"2182","Phycocyanin",4
"2183","Phycocyanin",0.1
"2184","Chlorophyll",0.08
"2185","Phycocyanin",2
"2186","Phycocyanin",1
"2187","Chlorophyll",0.04
"2188","Phycocyanin",2.5
"2189","Chlorophyll",0.19
"2190","Chlorophyll",0.62
"2191","Chlorophyll",0.68
"2192","Phycocyanin",0.1
"2194","Phycocyanin",0.1
"2197","Phycocyanin",1
"2198","Chlorophyll",1.17
"2199","Chlorophyll",0.92
"2201","Chlorophyll",1.26
"2204","Phycocyanin",8
"2205","Chlorophyll",1.05
"2208","Phycocyanin",6.5
"2211","Chlorophyll",1.28
"2213","Chlorophyll",1.05
"2214","Phycocyanin",0.1
"2215","Phycocyanin",1
"2217","Phycocyanin",4.5
"2220","Phycocyanin",4
"2222","Chlorophyll",1.22
"2224","Chlorophyll",1.17
"2226","Chlorophyll",0.91
"2227","Phycocyanin",0.1
"2229","Phycocyanin",1
"2230","Chlorophyll",0.85
"2235","Phycocyanin",5
"2236","Chlorophyll",13.11
"2237","Phycocyanin",41
"2238","Phycocyanin",1.5
"2243","Chlorophyll",1.14
"2244","Chlorophyll",1.32
"2247","Phycocyanin",1797.63
"2248","Chlorophyll",1.02
"2249","Phycocyanin",0.1
"2251","Chlorophyll",1.55
"2252","Phycocyanin",25
"2256","Chlorophyll",0.7
"2257","Chlorophyll",0.35
"2258","Chlorophyll",0.29
"2261","Phycocyanin",0.55
"2262","Phycocyanin",3
"2263","Phycocyanin",0.1
"2265","Phycocyanin",1.5
"2267","Chlorophyll",0.5
"2270","Chlorophyll",0.44
"2275","Phycocyanin",0.1
"2276","Chlorophyll",2.01
"2277","Chlorophyll",0.64
"2278","Phycocyanin",1
"2281","Phycocyanin",2.5
"2282","Phycocyanin",1
"2283","Chlorophyll",0.31
"2286","Phycocyanin",1.5
"2289","Chlorophyll",0.7
"2290","Chlorophyll",0.59
"2291","Phycocyanin",2.5
"2296","Chlorophyll",0.5
"2297","Chlorophyll",0.77
"2301","Phycocyanin",1.5
"2303","Chlorophyll",0.61
"2304","Phycocyanin",2
"2305","Chlorophyll",0.31
"2307","Chlorophyll",0.46
"2308","Phycocyanin",0.1
"2311","Phycocyanin",1
"2314","Chlorophyll",0.56
"2316","Phycocyanin",0.55
"2318","Phycocyanin",1
"2320","Chlorophyll",0.5
"2321","Phycocyanin",24.91
"2322","Chlorophyll",3.62
"2323","Chlorophyll",2.47
"2324","Phycocyanin",0.1
"2325","Phycocyanin",3.64
"2326","Chlorophyll",2.29
"2327","Chlorophyll",2.15
"2328","Phycocyanin",0.1
"2329","Phycocyanin",2.05
"2330","Phycocyanin",3.11
"2331","Phycocyanin",4.7
"2332","Phycocyanin",4.7
"2333","Phycocyanin",3.11
"2334","Chlorophyll",2.75
"2335","Phycocyanin",13.08
"2336","Phycocyanin",23.88
"2337","Chlorophyll",1.75
"2338","Phycocyanin",0.1
"2339","Phycocyanin",28
"2340","Chlorophyll",1.11
"2341","Phycocyanin",0.1
"2342","Chlorophyll",1.25
"2343","Chlorophyll",1.6
"2344","Phycocyanin",4.17
"2345","Chlorophyll",1.66
"2346","Chlorophyll",1.34
"2347","Phycocyanin",0.1
"2348","Chlorophyll",3.1
"2349","Chlorophyll",1.46
"2350","Chlorophyll",2.09
"2351","Phycocyanin",5.76
"2352","Phycocyanin",1
"2353","Phycocyanin",0.1
"2354","Chlorophyll",1.63
"2355","Chlorophyll",2.12
"2356","Phycocyanin",19.25
"2357","Phycocyanin",5.76
"2358","Chlorophyll",2.87
"2359","Chlorophyll",1.95
"2360","Phycocyanin",2.58
"2361","Chlorophyll",7.4
"2362","Chlorophyll",1.92
"2363","Chlorophyll",3.79
"2364","Phycocyanin",6.29
"2365","Chlorophyll",1.54
"2366","Phycocyanin",0.1
"2367","Phycocyanin",0.1
"2368","Phycocyanin",33.65
"2369","Chlorophyll",1.72
"2370","Phycocyanin",0.1
"2371","Chlorophyll",5.81
"2372","Chlorophyll",1.72
"2373","Chlorophyll",2.26
"2374","Chlorophyll",3.07
"2375","Chlorophyll",1.98
"2376","Chlorophyll",2.93
"2377","Chlorophyll",1.37
"2378","Phycocyanin",4.17
"2379","Phycocyanin",4.7
"2380","Phycocyanin",8.94
"2381","Phycocyanin",2.05
"2382","Chlorophyll",3.79
